time,lat,lon,spei12,region
2000-01-16,33.75,-6.25,-1.3282921,Rabat-Sale-Kenitra
2000-01-16,33.75,-5.75,-1.4212884,Rabat-Sale-Kenitra
2000-01-16,33.75,-5.25,-1.4019998,Fes-Meknes
2000-01-16,33.75,-4.75,-1.2700499,Fes-Meknes
2000-01-16,33.75,-4.25,-1.1930702,Fes-Meknes
2000-01-16,33.75,-3.75,-1.2916812,Fes-Meknes
2000-01-16,33.75,-3.25,-1.3048503,Oriental
2000-01-16,33.75,-2.75,-1.3196652,Oriental
2000-01-16,33.75,-2.25,-1.3110418,Oriental
2000-01-16,33.75,-1.75,-1.1874381,Oriental
2000-01-16,33.75,-1.25,-1.1400636,Oriental
2000-01-16,34.25,-6.75,-1.1600207,Rabat-Sale-Kenitra
2000-01-16,34.25,-6.25,-1.3029248,Rabat-Sale-Kenitra
2000-01-16,34.25,-5.75,-1.4565175,Tanger-Tetouan-Al Hoceima
2000-01-16,34.25,-5.25,-1.315606,Fes-Meknes
2000-01-16,34.25,-4.75,-1.3092294,Fes-Meknes
2000-01-16,34.25,-4.25,-1.216119,Fes-Meknes
2000-01-16,34.25,-3.75,-1.2166682,Fes-Meknes
2000-01-16,34.25,-3.25,-1.20198,Oriental
2000-01-16,34.25,-2.75,-1.244816,Oriental
2000-01-16,34.25,-2.25,-1.1993223,Oriental
2000-01-16,34.25,-1.75,-1.1774485,Oriental
2000-01-16,34.25,-1.25,-1.2010615,Oriental
2000-01-16,34.75,-6.25,-1.2408229,Rabat-Sale-Kenitra
2000-01-16,34.75,-5.75,-1.3683566,Tanger-Tetouan-Al Hoceima
2000-01-16,34.75,-5.25,-1.3568914,Tanger-Tetouan-Al Hoceima
2000-01-16,34.75,-4.75,-1.3028615,Tanger-Tetouan-Al Hoceima
2000-01-16,34.75,-4.25,-1.3337665,Fes-Meknes
2000-01-16,34.75,-3.75,-1.3253158,Fes-Meknes
2000-01-16,34.75,-3.25,-1.2853432,Oriental
2000-01-16,34.75,-2.75,-1.2063887,Oriental
2000-01-16,34.75,-2.25,-1.0959352,Oriental
2000-01-16,34.75,-1.75,-1.0730329,Oriental
2000-01-16,34.75,-1.25,-1.2284577,Oriental
2000-01-16,35.25,-6.25,-1.1241901,Tanger-Tetouan-Al Hoceima
2000-01-16,35.25,-5.75,-1.2979167,Tanger-Tetouan-Al Hoceima
2000-01-16,35.25,-5.25,-1.493532,Tanger-Tetouan-Al Hoceima
2000-01-16,35.25,-4.75,-1.2293196,Tanger-Tetouan-Al Hoceima
2000-01-16,35.25,-4.25,-1.0633376,Tanger-Tetouan-Al Hoceima
2000-01-16,35.25,-3.75,-1.1343925,Tanger-Tetouan-Al Hoceima
2000-01-16,35.25,-3.25,-0.9055501,Oriental
2000-01-16,35.25,-2.75,-0.858084,Oriental
2000-01-16,35.25,-2.25,-0.8485174,Oriental
2000-01-16,35.25,-1.75,-1.0329355,Oriental
2000-01-16,35.25,-1.25,-1.1384904,Oriental
2000-01-16,35.75,-5.75,-1.0954275,Tanger-Tetouan-Al Hoceima
2000-01-16,35.75,-5.25,-1.3008773,Tanger-Tetouan-Al Hoceima
2000-01-16,35.75,-1.25,-0.8719906,Oriental
2000-02-15,27.25,-13.25,-0.66667265,Laayoune-Sakia El Hamra
2000-02-15,27.25,-12.75,-0.7266324,Laayoune-Sakia El Hamra
2000-02-15,27.25,-12.25,-0.9830054,Laayoune-Sakia El Hamra
2000-02-15,27.25,-11.75,-1.0619314,Laayoune-Sakia El Hamra
2000-02-15,27.25,-11.25,-1.0561193,Laayoune-Sakia El Hamra
2000-02-15,27.25,-10.75,-1.2958739,Guelmim-Oued Noun
2000-02-15,27.25,-10.25,-1.4073261,Guelmim-Oued Noun
2000-02-15,27.25,-9.75,-1.3168253,Guelmim-Oued Noun
2000-02-15,27.25,-9.25,-1.2932198,Guelmim-Oued Noun
2000-02-15,27.25,-8.75,-1.3143088,Guelmim-Oued Noun
2000-02-15,27.25,-8.25,-1.4341985,Guelmim-Oued Noun
2000-02-15,27.25,-7.75,-1.3291887,Guelmim-Oued Noun
2000-02-15,27.25,-7.25,-1.2005262,Guelmim-Oued Noun
2000-02-15,27.25,-6.75,-1.1232026,Souss-Massa
2000-02-15,27.25,-6.25,-0.8276512,Draa-Tafilalet
2000-02-15,27.25,-5.75,-0.77322024,Draa-Tafilalet
2000-02-15,27.25,-5.25,-0.64883053,Draa-Tafilalet
2000-02-15,27.25,-4.75,-0.6777138,Draa-Tafilalet
2000-02-15,27.25,-4.25,-0.833169,Draa-Tafilalet
2000-02-15,27.25,-3.75,-0.6564879,Draa-Tafilalet
2000-02-15,27.25,-3.25,-0.73123765,Draa-Tafilalet
2000-02-15,27.25,-2.75,-0.73276544,Draa-Tafilalet
2000-02-15,27.25,-2.25,-0.8626649,Draa-Tafilalet
2000-02-15,27.25,-1.75,-0.77721256,Draa-Tafilalet
2000-02-15,27.25,-1.25,-0.5533563,Draa-Tafilalet
2000-02-15,27.75,-15.75,-0.31801578,Laayoune-Sakia El Hamra
2000-02-15,27.75,-15.25,-0.37566295,Laayoune-Sakia El Hamra
2000-02-15,27.75,-13.25,-0.8199409,Laayoune-Sakia El Hamra
2000-02-15,27.75,-12.75,-0.8347679,Laayoune-Sakia El Hamra
2000-02-15,27.75,-12.25,-0.9726668,Laayoune-Sakia El Hamra
2000-02-15,27.75,-11.75,-1.0048106,Laayoune-Sakia El Hamra
2000-02-15,27.75,-11.25,-1.270776,Guelmim-Oued Noun
2000-02-15,27.75,-10.75,-1.3978417,Guelmim-Oued Noun
2000-02-15,27.75,-10.25,-1.3102808,Guelmim-Oued Noun
2000-02-15,27.75,-9.75,-1.3685834,Guelmim-Oued Noun
2000-02-15,27.75,-9.25,-1.278116,Guelmim-Oued Noun
2000-02-15,27.75,-8.75,-1.3055325,Guelmim-Oued Noun
2000-02-15,27.75,-8.25,-1.2126501,Guelmim-Oued Noun
2000-02-15,27.75,-7.75,-1.3595952,Guelmim-Oued Noun
2000-02-15,27.75,-7.25,-1.0342932,Souss-Massa
2000-02-15,27.75,-6.75,-0.99469894,Souss-Massa
2000-02-15,27.75,-6.25,-0.95246035,Draa-Tafilalet
2000-02-15,27.75,-5.75,-0.5261386,Draa-Tafilalet
2000-02-15,27.75,-5.25,-0.58690566,Draa-Tafilalet
2000-02-15,27.75,-4.75,-0.7430221,Draa-Tafilalet
2000-02-15,27.75,-4.25,-0.6590418,Draa-Tafilalet
2000-02-15,27.75,-3.75,-0.76361406,Draa-Tafilalet
2000-02-15,27.75,-3.25,-0.9916474,Draa-Tafilalet
2000-02-15,27.75,-2.75,-1.0353478,Draa-Tafilalet
2000-02-15,27.75,-2.25,-0.8588807,Draa-Tafilalet
2000-02-15,27.75,-1.75,-0.9638652,Draa-Tafilalet
2000-02-15,27.75,-1.25,-0.74175423,Draa-Tafilalet
2000-02-15,28.25,-16.75,-0.33458808,Laayoune-Sakia El Hamra
2000-02-15,28.25,-16.25,-0.25721747,Laayoune-Sakia El Hamra
2000-02-15,28.25,-15.75,-0.2514788,Laayoune-Sakia El Hamra
2000-02-15,28.25,-15.25,-0.353836,Laayoune-Sakia El Hamra
2000-02-15,28.25,-14.25,-0.5149021,Laayoune-Sakia El Hamra
2000-02-15,28.25,-13.75,-0.7705209,Laayoune-Sakia El Hamra
2000-02-15,28.25,-12.25,-0.9766949,Laayoune-Sakia El Hamra
2000-02-15,28.25,-11.75,-1.2443099,Laayoune-Sakia El Hamra
2000-02-15,28.25,-11.25,-1.2712575,Guelmim-Oued Noun
2000-02-15,28.25,-10.75,-1.2172251,Guelmim-Oued Noun
2000-02-15,28.25,-10.25,-1.3573453,Guelmim-Oued Noun
2000-02-15,28.25,-9.75,-1.2569124,Guelmim-Oued Noun
2000-02-15,28.25,-9.25,-1.1996979,Guelmim-Oued Noun
2000-02-15,28.25,-8.75,-1.1659641,Guelmim-Oued Noun
2000-02-15,28.25,-8.25,-1.1346828,Guelmim-Oued Noun
2000-02-15,28.25,-7.75,-0.9987018,Souss-Massa
2000-02-15,28.25,-7.25,-1.0316987,Souss-Massa
2000-02-15,28.25,-6.75,-0.72078663,Souss-Massa
2000-02-15,28.25,-6.25,-0.6511027,Draa-Tafilalet
2000-02-15,28.25,-5.75,-0.5290076,Draa-Tafilalet
2000-02-15,28.25,-5.25,-0.29615045,Draa-Tafilalet
2000-02-15,28.25,-4.75,-0.30673313,Draa-Tafilalet
2000-02-15,28.25,-4.25,-0.54021126,Draa-Tafilalet
2000-02-15,28.25,-3.75,-0.60994744,Draa-Tafilalet
2000-02-15,28.25,-3.25,-0.7217469,Draa-Tafilalet
2000-02-15,28.25,-2.75,-0.92389506,Draa-Tafilalet
